Accession,Ratio 2h,Ratio 6h,Ratio 10h ,Ratio 24h,P value 2h,P value 6h,P value 10h,P value 24h
P02771,-0.236187606201737,-0.327616163890609,-0.136693989877978,-4.48991314467578,0.490451052678415,0.061288508058536,0.599956122709825,0.000179858368884
P07148,-0.177060699523806,-0.347503934597746,-0.140952831607995,-3.28698609066931,0.037763437563103,0.058714380545135,0.792981564876088,0.000182299284904
P09327,-0.150779472966452,-0.279990645420077,-0.645486419855405,-3.44457900530558,0.398440699811411,0.052874208787605,0.016658359187392,0.000164669180873
P05783,-0.096411223156133,-0.017061002431639,-0.157926411381593,-0.229857487866453,0.603718594049519,0.884343556076815,0.328674607394971,0.583561154943817
Q9P2E9,-0.135448008659797,-0.163304340223509,-0.440900076534852,-2.14036996242386,0.092775339813056,0.258607911063547,0.032700276097947,1.99439003264675E-05
P09525,-0.019478377595525,-0.167319493051081,-0.238208350790392,-2.48245176668466,0.67980091504551,0.077537986767289,0.106842409301524,0.000158213542289
P05787,-0.029352741005469,-0.035544498844195,-0.205293722683837,0.257807768156237,0.904266070235729,0.885154742956612,0.390760989245142,0.443177751264912
Q9H3R2,0.112285086979372,0.047859999257271,-0.340463957258065,-3.00224437088062,0.120189647983494,0.636218525462146,0.355059807102645,0.002125461407115
Q12864,-0.115542098968915,-0.177734368036902,-0.4668384580147,-3.23738967681257,0.331675949195386,0.196289161612401,0.030436789112137,0.000115221180741
P17931,-0.106529545811837,-0.067741633440219,-0.358539212452025,-1.42038149564302,0.192016081827591,0.479648457315296,0.003000970407831,4.3052944083922E-05
P01009,-0.112696598417429,-0.224237875848776,-0.429786641078162,-3.66942463473857,0.56492087971157,0.157059923613644,0.031447005546264,0.000540246868559
O75874,-0.33026141553682,-0.440110789453066,-0.364232354162502,-2.35332554837038,0.132484890808211,0.088069730454408,0.265161299415558,0.000378107696021
Q7Z3J2,-0.14485482554798,-0.138851877552869,-0.05540914321387,1.05788640712779,0.409229766411407,0.214088652203005,0.613455471375677,0.000340305453625
P02766,-0.366625104779256,-0.337060175195204,-0.66696010218585,-5.03327166975679,0.103182134769985,0.084406581256151,0.104426121519134,1.58133595631749E-05
O75369,0.251552341959584,-0.038090462298613,0.119736942653419,-0.07640705193445,0.286295879636781,0.798106270714251,0.780612101575684,0.871331505796015
P0DMV9,0.132261487178679,0.063451834592184,-0.390316339218211,0.321752092863554,0.661286217818447,0.855153118904838,0.264385353653161,0.300816447400291
P36578,-0.032348710977917,-0.120856848071748,-0.323229203755797,-0.874179026274042,0.93184465561797,0.58414286992199,0.18717845363384,0.150714192333862
P14923,-0.009518576821658,-0.299702629616972,-0.519829576299184,-2.40496797563643,0.897988139850846,0.000453491295734,0.006324796881312,0.000360210536074
P12277,0.369012215106179,0.104468728400353,-0.327942754378281,-0.516441451490875,0.173493542738639,0.742991013745586,0.635004763857253,0.413420704425345
O14745,-0.1779366664288,-0.169452644446574,-0.669426962150081,-2.94522743542593,0.62192408778178,0.56581054182647,0.084588401203946,0.00086148274361
P00352,-0.20044395076788,-0.420235481196429,-0.731650857715994,-4.02656962050531,0.289344779848174,0.013407334590832,0.02832506413425,1.83876860628479E-05
P30101,-0.189177059967732,-0.549556535964935,-1.19999698494121,0.131891499681508,0.91494675113155,0.700178726155931,0.397778043923593,0.924560194499931
P35900,-0.189730877355946,-0.072170054584097,-0.51111143469266,-2.09418735490376,0.367488353114779,0.685912198905759,0.012089954418401,0.12070574909753
P11021,-0.246094268034554,-0.081582117037796,-0.876766252661958,0.610475800837765,0.789463813177119,0.884961960672984,0.310863916809345,0.623995633008722
Q09666,-0.832427148842685,-0.378802536282986,Err:502,1.48837629249362,0.293684305766784,0.744021885199659,0.161040870425999,0.22285578855515
P07305,-0.111530226738957,-0.423428616548696,-0.247317477925724,-2.72085267997081,0.366187906022113,0.004562387249647,0.175786628742719,0.000261526035046
P02647,-0.258410938400777,-0.112473912104805,-0.821535832088891,Err:502,0.272752655509779,0.567713807175579,0.03250829770603,0.000480816344528
P04406,0.114422716422463,-0.332773941893231,0.066937117988672,0.452517639040593,0.568621152559082,0.479478984281844,0.815506335421556,0.358317384567418
P04181,-0.163150275045107,-0.337716072047217,-0.723129074369671,-4.30188249061394,0.455474892262802,0.043341620079848,0.005242751760251,6.9181257861971E-05
P16403,-0.205989611116327,-0.349962693141717,-0.117147548855491,-2.64964643856567,0.038667001889518,0.091659274755553,0.548138907792188,0.000136156192054
Q15459,0.143355477546679,0.143334999755986,-0.216971115113979,0.490460993124821,0.252008304621604,0.235297820657384,0.077667292389836,0.014201945983414
P54886,0.093545609888515,-0.196374178672112,-0.211416180315613,-2.17219760666821,0.641507346183797,0.406084161340882,0.385714463586321,0.00579112264942
Q96I99,0.013844290739589,-0.244316256233016,-0.203315242206137,-0.991627574877391,0.975542326008003,0.488422709496355,0.516993847748744,0.019160878629474
Q16850,0.04915126285744,-0.067159002346645,-0.359346605517718,-3.75286354887936,0.386416218237986,0.197696137141018,0.085894750914255,4.48352268693179E-05
P17844,0.097229732981177,-0.005210554251644,-0.012460217358349,-0.443100124139632,0.637516945102364,0.975539524289999,0.959403397925905,0.160349764709503
P68104,0.031663101770965,-0.077067757158834,-0.671941290654966,-1.01418453022132,0.876612859888955,0.719068336356116,0.047936078404641,0.012952940280566
P06748,-0.000947270485569,0.166800144572635,-0.382446181866946,-0.178566386455412,0.996971394646273,0.414409185305999,0.125297210108991,0.768806580078985
P61313,0.082605153814688,0.11190056905261,0.151620044816924,0.014802940209005,0.799099642159159,0.663140186591735,0.470252633799272,0.954307524039139
