prots	samavarchi-tehrani-et-al-ppi
A0AV96	1
A0AVK6	1
A0AVT1	1
A0FGR8	1
A1L0T0	1
A2RRP1	1
A2RUB1	1
A2VDJ0	1
A3KMH1	1
A4D1E9	1
A6NHR9	1
A6NHX0	1
A6NKT7	1
A6NMD0	1
A8CG34	1
A8MVW0	1
B0FP48	1
B0YJ81	1
B1AH88	1
B7ZAQ6	1
O00115	1
O00124	1
O00148	1
O00154	1
O00159	1
O00170	1
O00178	1
O00186	1
O00189	1
O00194	1
O00213	1
O00220	1
O00264	1
O00339	1
O00400	1
O00411	1
O00425	1
O00442	1
O00462	1
O00468	1
O00469	1
O00541	1
O00559	1
O00562	1
O00566	1
O00567	1
O00746	1
O00754	1
O00764	1
O00767	1
O14497	1
O14503	1
O14523	1
O14524	1
O14544	1
O14595	1
O14646	1
O14653	1
O14656	1
O14657	1
O14672	1
O14678	1
O14681	1
O14683	1
O14684	1
O14727	1
O14732	1
O14735	1
O14744	1
O14745	1
O14776	1
O14786	1
O14787	1
O14802	1
O14828	1
O14880	1
O14925	1
O14964	1
O14966	1
O14967	1
O14975	1
O14980	1
O15031	1
O15067	1
O15091	1
O15111	1
O15118	1
O15121	1
O15126	1
O15127	1
O15143	1
O15155	1
O15173	1
O15226	1
O15230	1
O15232	1
O15258	1
O15260	1
O15269	1
O15321	1
O15344	1
O15374	1
O15375	1
O15381	1
O15397	1
O15400	1
O15427	1
O15438	1
O15439	1
O15460	1
O15498	1
O15504	1
O15533	1
O15554	1
O43156	1
O43164	1
O43169	1
O43175	1
O43194	1
O43242	1
O43252	1
O43291	1
O43292	1
O43293	1
O43303	1
O43379	1
O43396	1
O43402	1
O43405	1
O43493	1
O43505	1
O43529	1
O43556	1
O43570	1
O43572	1
O43615	1
O43660	1
O43684	1
O43688	1
O43734	1
O43752	1
O43765	1
O43772	1
O43776	1
O43808	1
O43818	1
O43823	1
O43826	1
O43837	1
O43847	1
O43852	1
O60216	1
O60264	1
O60266	1
O60281	1
O60291	1
O60293	1
O60296	1
O60306	1
O60313	1
O60318	1
O60337	1
O60341	1
O60353	1
O60427	1
O60462	1
O60488	1
O60493	1
O60499	1
O60503	1
O60513	1
O60518	1
O60524	1
O60645	1
O60658	1
O60678	1
O60701	1
O60725	1
O60749	1
O60763	1
O60826	1
O60831	1
O60832	1
O60841	1
O60858	1
O60906	1
O75027	1
O75054	1
O75083	1
O75094	1
O75096	1
O75110	1
O75131	1
O75146	1
O75151	1
O75153	1
O75167	1
O75197	1
O75223	1
O75306	1
O75352	1
O75354	1
O75390	1
O75396	1
O75410	1
O75427	1
O75436	1
O75439	1
O75460	1
O75475	1
O75477	1
O75486	1
O75489	1
O75503	1
O75521	1
O75563	1
O75569	1
O75570	1
O75581	1
O75592	1
O75616	1
O75665	1
O75683	1
O75688	1
O75691	1
O75694	1
O75695	1
O75718	1
O75751	1
O75762	1
O75787	1
O75821	1
O75841	1
O75844	1
O75845	1
O75882	1
O75884	1
O75911	1
O75915	1
O75947	1
O75955	1
O75976	1
O76021	1
