prots	SARS-CoV
A9UHW6	1
B0QYN7	1
B5DFM8	1
B8ZZN6	1
C4P6R9	1
D3ZCV0	1
D3ZHX2	1
NP_828860	1
NP_828861	1
NP_828862	1
NP_828863	1
NP_828864	1
NP_828865	1
NP_828866	1
NP_828867	1
NP_828868	1
NP_828869	1
NP_828870	1
NP_828871	1
NP_828872	1
NP_828873	1
NP_904321	1
NP_904322	1
O00303	1
O00560	1
O14498	1
O14920	1
O43447	1
O43765	1
O75348	1
O95295	1
O95299	1
O95865	1
O96017	1
P00403	1
P02768	1
P05155	1
P06733	1
P08708	1
P08865	1
P08949	1
P09630	1
P09651	1
P0C6X7-PRO_0000037311	1
P0C6X7-PRO_0000037319	1
P0C6X7-PRO_0000037320	1
P0C6X7-PRO_0000037322	1
P10415	1
P13591	1
P13796	1
P14618	1
P20231	1
P20290	1
P23025	1
P23588	1
P25685	1
P25787	1
P27448	1
P28340	1
P30876	1
P35354	1
P40337	1
P46379	1
P49069	1
P49703	1
P50583	1
P51948	1
P52292	1
P54274	1
P59594	1
P59595	1
P59596	1
P59632	1
P59633	1
P59634	1
P59635	1
P59636	1
P59637	1
P60866	1
P62258	1
P62487	1
P62879	1
P62937	1
P62942	1
P68104	1
P69849	1
P98161	1
Q01196	1
Q03135	1
Q07817	1
Q07820	1
Q0VD86	1
Q13009	1
Q13064	1
Q13287	1
Q13427	1
Q13561	1
Q13564	1
Q14653	1
Q15661	1
Q16548	1
Q3KRD0	1
Q4KLI0	1
Q53GL0	1
Q56VL3	1
Q5JRX3	1
Q5SQN1	1
Q5TBA9	1
Q5XPI4	1
Q6AYI1	1
Q6P587	1
Q7KZI7	1
Q7TFA0	1
Q7TFA1	1
Q7TLC7	1
Q7Z3Q1	1
Q7Z494	1
Q80H93	1
Q86VK4	1
Q8N488	1
Q8TD31	1
Q8TEB7	1
Q8TF42	1
Q8WXF8	1
Q920P6	1
Q92499	1
Q92560	1
Q92802	1
Q92843	1
Q92994	1
Q96GS6	1
Q99426	1
Q99471	1
Q99873	1
Q9BQB6	1
Q9BUV0	1
Q9BW92	1
Q9BYF1	1
Q9GZN8	1
Q9H000	1
Q9H4F8	1
Q9HCD5	1
Q9NY15	1
Q9P0M6	1
Q9UKA8	1
Q9UMX0	1
Q9UQN3	1
Q9Y2D1	1
Q9Y4W2	1
Q9Y6E2	1
